Number	Gender	GivenName	Surname	Birthday	Age	BloodType	Kilograms	Centimeters
48	female	Irene	Bridges	5/19/2007	10	A+	41.4	133
49	female	Anfisa	Dolgorukova	8/15/2011	6	A+	16.7	123
50	female	Gulnaz	Ermakova	1/16/2017	1	O+	8.9	70
51	female	Audrea	Luellen	12/3/2000	17	O+	69.5	171
52	female	France	Duplanty	6/3/2011	6	B-	19.2	113
53	male	George	Baldwin	10/29/2009	8	B+	29.4	120
54	male	Spencer	Hunt	7/4/2016	1	A+	13	82
55	male	Norman	Brill	6/11/2012	5	A+	22.5	117
56	female	Shannon	Little	3/6/2008	9	AB+	23.3	138
57	female	Ruslana	Artemova	5/2/2000	17	A+	56.2	165
58	female	Natella	Sazonova	1/31/2011	6	O+	27.2	117
59	female	Mary	Baugh	10/17/2008	9	O+	23.9	136
60	male	Romain	Grandpré	5/8/2003	14	O+	61.7	150
61	female	Mary	Scalise	12/16/2013	4	B+	20.6	109
62	female	Robin	Brown	2/19/2007	10	O-	32.2	134
63	female	Morgana	Norbert	8/7/2014	3	A+	16.7	95
64	female	Alexandra	Connolly	12/7/2006	11	B+	37.3	137
65	female	Thais	Kovalyova	2/28/2003	14	O+	40.9	157
66	male	Rinat	Woronoff	3/14/2000	17	A-	60.4	169
67	male	Isaac	Ozerov	8/12/2013	4	A+	19.6	99
68	female	Theresa	Twiggs	7/28/2011	6	O+	19.9	113
69	female	Harriette	Souplet	5/3/2002	15	A+	49	159
70	female	Morgan	McCarthy	7/31/2017	0	O+	2	45
71	female	Bethany	Gibson	7/26/2010	7	B+	29.7	129
72	male	Nicanor	Zaitsev	9/3/2010	7	O+	29.4	118
73	male	Louie	Myers	12/27/2012	5	O+	20.2	104
74	female	Karina	Whitehead	10/27/2005	12	B+	60.4	138
75	male	Christopher	Stevenson	4/22/2009	8	A+	24.9	125
76	male	Bernard	Gosselin	3/8/2012	5	O-	15	100
77	male	Gregory	Vasilyev	1/17/2001	17	A+	49.2	162
78	male	Hunter	Frost	3/17/2009	8	O+	32.8	138
79	female	Monique	Hachée	11/24/2011	6	O+	26.7	121
80	male	Modest	Yefimov	4/12/2013	4	O-	18.8	96
81	male	Ignat	Bazarov	7/2/2000	17	A+	68.4	162
82	male	Oliver	Sharpe	1/8/2012	6	A+	22	115
83	male	Lamont	Morgan	5/12/2008	9	A+	29.8	129
84	female	Melodie	Jetté	4/19/2016	1	B+	10.4	73
85	female	Leeann	Miller	1/31/2014	3	A+	14.6	92
86	male	Alex	Stephenson	5/10/2001	16	O+	87.8	176
87	male	Logan	Campbell	8/8/2002	15	O+	60	155
88	male	Anthony	Reed	9/25/2014	3	B+	18.3	91
89	female	Lauren	Parkinson	5/14/2008	9	A+	37.8	140
90	female	Germaine	Pelland	9/14/2009	8	B+	29.5	135
91	female	Sofia	Austin	3/25/2016	1	A+	11.6	72
92	male	Ferragus	Therriault	7/9/2017	0	A+	2.3	55
93	female	Thelma	Randolph	7/14/2011	6	O+	21.9	124
94	male	Harvey	Humphreys	12/12/2017	0	O+	3	50
95	female	Victoire	Doiron	6/12/2016	1	O+	11.4	78
96	male	William	Johnson	10/11/2009	8	B+	28	129
97	male	Alexander	Robinson	11/24/2007	10	AB+	38.2	145
98	male	Mandel	Paulet	11/27/2006	11	B+	42.5	145
99	male	Quennel	Bédard	3/3/2006	11	A-	51.7	150
100	male	Charles	Biggs	10/15/2013	4	O+	19.9	110
101	male	Ellis	Fleming	3/28/2010	7	O+	19.4	114
102	female	Elena	Maslova	5/6/2008	9	A+	38	123
103	male	Liam	O'Neill	7/29/2007	10	B+	31.4	129
104	female	Lily	Oliver	12/21/2017	0	AB-	2	51
105	female	Morgan	Norton	10/2/2006	11	O+	40	150
106	male	Lazarus	Andreeff	1/23/2007	10	O-	40.1	134
107	female	Amelia	Evans	12/17/2006	11	B+	36.8	140
108	female	Libby	Blake	6/22/2006	11	O+	36.7	131
109	male	Jack	Field	4/16/2005	12	O+	62.8	151
110	male	Elliot	Nicholson	3/3/2017	0	A+	4.8	52
111	female	Lilly	Sharpe	12/2/2014	3	O+	14.5	93
112	female	Lindsey	Shelton	6/3/2013	4	B+	18.7	95
113	female	Madison	Riley	6/17/2000	17	O+	46.3	173
114	female	Daisy	Mills	10/5/2003	14	B+	49.2	163
115	female	Paulette	Labbé	11/15/2011	6	O+	25.5	117
116	female	Azura	Mailloux	11/29/2001	16	A+	60.5	163
117	female	Ludmila	Selezneva	8/12/2011	6	O+	22.5	114
118	female	Diane	Jackson	3/12/2007	10	A+	42.8	131
119	male	Gabriel	Abramoff	11/5/2004	13	O+	56.7	169
120	male	Jacob	Dale	3/2/2013	4	O+	19.6	108
121	female	Elvira	Belyakova	3/17/2001	16	O+	50.6	159
122	female	Evdokia	Shubina	2/2/2006	11	B+	52.7	143
123	male	Eric	Clark	11/27/2005	12	AB+	40.5	162
124	female	Laura	Hebert	5/10/2003	14	O+	41.4	157
125	female	Veronica	Sukhorukova	7/30/2013	4	O+	21.7	102
126	female	Melusina	Proulx	12/19/2008	9	O-	32.7	128
127	male	Oles	Ulyanov	12/8/2007	10	O+	36.1	134
128	male	Roland	Pirogov	3/18/2007	10	A+	32.2	152
129	female	Annette	Langlais	4/6/2007	10	B+	27.6	129
130	female	Scarlett	Norman	11/21/2008	9	A+	43.1	124
131	female	Germaine	Houle	4/8/2017	0	A-	2.2	50
132	female	Laura	Lambert	12/9/2008	9	O+	26.2	134
133	female	Simon	Ulyanova	12/6/2005	12	O-	61.1	145
134	male	Sebastian	Uvarov	3/8/2005	12	A+	59.7	151
135	female	Cora	Cherkasova	7/17/2014	3	B+	12.9	94
136	male	Gary	Cantrell	4/26/2010	7	B+	25.6	126
137	male	Chang	Morris	8/9/2001	16	B+	55.7	171
138	female	Isabella	Gordon	2/12/2012	5	O+	20.8	106
139	female	Cécile	Daoust	9/26/2006	11	O+	56.8	157
140	female	Eloise	Robertson	4/23/2000	17	B+	79.3	166
141	male	Christopher	Hamilton	11/1/2002	15	A+	43.9	168
142	female	Tegan	Mahmood	8/7/2015	2	A+	12	80
143	female	Jennifer	Potter	12/26/2005	12	O+	53.1	148
144	male	Daniel	Demidov	10/12/2011	6	O-	17.2	121
145	male	Jeffrey	Banes	6/19/2010	7	B+	32.7	114
146	male	Ephraim	Seleznev	9/27/2008	9	O+	39.6	139
147	female	Jeanette	Chaney	2/24/2006	11	A+	55.3	158
148	male	Ruben	Polyakov	12/23/2000	17	A+	87.5	179
149	female	Gulnaz	Mordvinova	12/11/2014	3	B+	15.3	92
150	female	Hedwig	Zaytseva	11/9/2005	12	O+	56.2	147
151	male	Hugh	Dupont	11/23/2009	8	O+	25.8	134
152	female	Lily	Fokina	1/23/2016	1	O+	8.2	71
153	female	Patricia	Edwards	8/20/2014	3	B+	15	100
154	female	Jessamine	Hachée	4/4/2001	16	B-	49.6	157
155	female	Lola	Wade	11/2/2017	0	B+	3.7	54
156	female	Harmony	Cannady	4/11/2011	6	B+	17.6	111
157	female	Dixie	Johnson	8/7/2014	3	AB+	12.2	101
158	female	Natalie	Moquin	12/7/2016	1	AB+	8.6	74
159	female	Zemfira	Tretiakova	6/28/2010	7	B+	21.3	112
160	male	Christopher	Garrett	6/28/2009	8	B+	22.2	121
161	male	Ruben	Williamson	2/24/2006	11	O-	32.7	140
162	male	Logan	Lambert	3/23/2005	12	O+	50.2	162
163	female	Sandra	Allen	3/22/2010	7	A+	25	116
164	female	Robyn	Lapointe	5/18/2007	10	B+	36.5	144
165	male	Robert	Miller	5/11/2017	0	O+	4.1	47
166	male	Gary	Carrick	4/25/2007	10	B+	31.4	135
167	male	Patrick	Giles	7/16/2014	3	A-	16.3	93
168	male	Albert	Borodin	10/21/2003	14	O+	52.6	174
169	female	Lydia	Belyakova	8/27/2010	7	B-	33	119
170	male	Thiery	Varieur	2/10/2010	7	O+	29.5	114
171	female	Nadine	Auger	4/6/2013	4	B+	19.9	98
172	male	Noah	Lamb	2/3/2000	17	A+	78.4	171
173	male	Oscar	Bryan	5/14/2003	14	O+	41.5	164
174	male	James	Thaler	6/23/2007	10	O+	48	132
175	male	Leonid	Kolesnikov	6/7/2004	13	O+	59.4	155
176	male	Alfie	Hart	12/1/2002	15	O+	82.6	165
177	female	Imogen	Dixon	7/1/2010	7	O+	27.5	121
178	female	Sophia	Zaytseva	7/17/2015	2	A+	10.9	82
179	female	Marisa	Zimmerman	6/18/2016	1	B+	8.9	71
180	male	Sam	Allan	9/5/2008	9	B+	27.9	146
181	female	Ruth	Tychonoff	10/28/2005	12	B+	46.7	137
182	female	Catherine	Staley	3/16/2009	8	A+	32.9	120
183	male	Ryan	Lord	2/25/2003	14	A+	52.3	179
184	male	Savely	Lavrentiev	1/4/2001	17	O+	62	183
185	male	Xenophon	Belov	2/27/2001	16	O+	85.3	170
186	male	Spartacus	Abramoff	12/27/2010	7	O+	20.3	128
187	female	Christine	Conway	12/11/2001	16	A+	42.6	165
188	male	Emil	Yefremov	12/11/2006	11	B+	49	154
189	female	Andrée	Loiseau	2/5/2009	8	A+	35.9	138
190	female	Keira	Shepherd	3/23/2010	7	O-	19.9	121
191	female	Jasmine	Rogers	12/22/2010	7	B+	22.3	121
192	female	Molly	Andrews	1/25/2015	2	A+	13	82
193	male	Dementi	Ozerov	7/12/2001	16	O-	60.2	179
194	female	Louise	Duncan	1/17/2007	11	B-	44.1	138
195	female	Maya	Yefremova	5/9/2012	5	O+	18.6	104
196	female	Eglantine	Barrette	1/15/2003	15	O+	49.7	151
197	female	Abby	Gill	10/11/2003	14	O+	62.5	158
198	female	Nathalie	Fongemie	3/15/2010	7	A+	17.3	126
199	female	Johna	Serrato	4/13/2008	9	B+	25.5	126
200	female	Kiera	Blackburn	8/29/2004	13	O-	59.5	162
201	female	Vivienne	Bélanger	8/30/2002	15	O+	77.9	158
202	male	Eugene	Tokaryev	5/30/2012	5	B+	19.9	102
203	male	Muslim	Vassiliev	12/5/2003	14	B+	39.5	161
204	female	Keira	Schofield	9/7/2005	12	B+	47.4	165
205	female	Naomi	Duffy	5/17/2007	10	O+	37.7	150
206	male	Thomas	Boyd	11/5/2011	6	O+	21.5	116
207	male	James	Chavez	8/30/2010	7	O-	20	122
208	female	Christine	Bates	2/27/2016	1	O+	8.3	69
209	female	Thais	Kornilova	9/22/2011	6	O+	22.4	122
210	male	Noah	Murphy	2/9/2017	0	A+	4.2	48
211	male	Byron	Descoteaux	6/6/2001	16	O+	76.5	178
212	female	Sandi	Frazier	5/17/2003	14	B+	61.4	159
213	female	Alita	Lemelin	6/13/2010	7	O+	29.2	131
214	male	Thomas	Holloway	4/27/2000	17	O+	69.7	165
215	female	Amber	Booth	10/11/2010	7	B+	23.2	121
216	male	Anton	Mironov	6/28/2013	4	O+	21.4	96
217	male	Glenn	Townes	2/2/2017	0	O+	4.8	48
218	female	Adele	Egan	6/4/2017	0	O+	4.9	50
219	male	Andrew	Briggs	8/20/2007	10	A+	24.4	146
220	male	Percy	Beaudry	2/28/2013	4	O-	16.9	97
221	male	Lucas	Carr	4/30/2012	5	O+	24.9	117
222	female	Faina	Fomina	11/11/2007	10	A-	32.1	149
223	male	Noël	Daviau	12/14/2016	1	O-	8.7	74
224	male	Robert	Gross	5/27/2003	14	B+	54.2	173
225	male	Eugène	Mailhot	11/9/2012	5	O+	16.5	112
226	female	Clémence	Boulanger	7/8/2008	9	O+	26.2	145
227	female	Jeanne	Seleznyova	5/18/2012	5	O+	16.9	107
228	male	Samson	Abramov	3/7/2007	10	O+	24.9	138
229	male	Luca	Wilkinson	4/27/2006	11	A+	37.8	149
230	male	John	Butler	11/27/2006	11	B+	50	156
231	female	Alicia	Griffin	8/16/2014	3	O+	16.8	87
232	male	Harry	Hutchinson	2/4/2008	9	O+	28.5	139
233	male	David	Ford	2/19/2003	14	B-	75.2	168
234	male	Nathan	Pratt	1/18/2006	12	AB+	29.8	159
235	female	Michèle	Lapointe	8/20/2005	12	A+	42.4	164
236	male	Forrest	Beaulieu	11/25/2011	6	A+	18.4	108
237	male	Edward	Bryant	8/10/2016	1	A+	9.3	79
238	female	Dielle	Rocher	1/3/2010	8	B+	36.6	134
239	female	Christabel	René	8/17/2008	9	O+	24.5	127
240	female	Yasmin	Barlow	1/9/2003	15	O+	52.3	168
241	male	Ryan	Akhtar	1/17/2003	15	A+	59.6	158
242	female	Imogen	Coates	8/31/2002	15	A+	49.2	160
243	male	Byron	Laframboise	12/13/2005	12	B+	44.3	148
244	male	Muhammad	Barlow	7/21/2007	10	B+	46.6	128
245	female	Clarice	Hernandez	1/25/2014	3	A+	12.2	97
246	male	Mark	Sozonov	5/19/2000	17	A+	91.5	172
247	male	Dementi	Nekrasov	1/14/2003	15	O-	56	159
248	female	Dean	Ang	7/29/2017	0	B+	4.5	49
249	female	Olivie	Busque	11/10/2001	16	O+	71	159
250	male	Tyson	Chevrette	11/25/2006	11	A+	32.3	154
251	female	Maya	Harper	2/17/2010	7	O+	25.7	127
252	male	Elisha	Zuyev	1/1/2010	8	A+	21.4	119
253	male	Evdokim	Balashov	11/9/2010	7	O+	25.9	125
254	female	Oksana	Yevdokimova	1/31/2001	16	O-	70.4	173
255	female	Alevtina	Zaitseva	6/29/2000	17	O+	46.4	155
256	female	Greta	Artyomova	5/9/2011	6	B+	19.1	118
257	female	Janet	Ehmann	9/30/2011	6	B+	17.2	125
258	female	Alicia	Graham	5/24/2010	7	B+	32.9	123
259	male	Laurent	Varieur	6/10/2005	12	A+	46	137
260	female	Amber	Hill	12/3/2012	5	A+	24.8	101
261	female	Freya	Gill	1/15/2018	0	A+	3.8	46
262	female	Carolyn	Sanchez	12/15/2001	16	A+	58	157
263	female	Camille	Poissonnier	7/21/2000	17	O+	60.3	154
264	female	Melissa	McDaniel	12/30/2009	8	A+	19.5	128
265	male	Peppin	D'Aoust	11/16/2016	1	O+	8.4	76
266	male	Valiant	Quessy	5/24/2015	2	A+	12.1	92
267	male	Immanuel	Istomin	2/24/2012	5	A+	19.7	110
268	male	Spencer	Garner	7/16/2016	1	B-	13	82
269	male	Bradley	Brown	7/27/2013	4	A+	15.6	110
270	female	Isobel	Griffin	10/9/2014	3	O+	12.4	97
271	male	Ravil	Uvarov	1/14/2012	6	O+	17.4	125
272	female	Eve	Giles	2/26/2014	3	B+	11.8	96
273	female	Nicole	Parsons	8/3/2016	1	AB+	11.6	75
274	female	Hedvige	Cressac	7/12/2014	3	O+	14.5	96
275	male	Henry	Record	12/24/2002	15	O+	73.3	183
276	female	Paige	Hancock	9/4/2004	13	O+	34.5	152
277	male	Nicolas	Bélair	1/8/2007	11	O+	28.1	156
278	male	Porter	Gingras	2/3/2012	5	O+	21.5	118
279	female	Isabelle	Pinette	1/3/2018	0	O+	4.9	54
280	male	Giovanni	Houser	5/13/2015	2	O+	15.9	91
281	male	Robert	Brown	4/25/2009	8	A-	29.1	136
282	male	Tony	Hayes	8/9/2007	10	O+	42.4	133
283	male	Cody	Hoffman	3/13/2003	14	B+	52.7	170
284	male	James	Baker	8/24/2001	16	O+	47.4	161
285	male	Dominique	Coulombe	6/11/2006	11	A+	56.6	156
286	female	Vedette	Trépanier	11/6/2005	12	B+	65	154
287	male	Roger	Jobin	9/7/2003	14	A+	45.1	154
288	male	Myron	Pokrovski	7/18/2009	8	A+	31.4	137
289	male	Leo	Baranov	3/19/2016	1	O+	13	74
290	female	Janice	Bliss	8/29/2001	16	O+	72.2	165
291	female	Linette	Bonneville	12/11/2005	12	O-	37.5	142
292	female	Didiane	Bérubé	2/11/2016	1	A+	8	78
293	male	Georges	Lajoie	9/29/2000	17	A+	81.4	174
294	female	Kiera	Hilton	7/5/2014	3	A+	16.1	94
295	female	Eloise	Morley	11/2/2012	5	O+	17.9	112
296	female	Abigail	Morley	9/1/2017	0	B+	2	53
297	female	Bernadette	Garnier	4/14/2014	3	O+	15	92
298	female	Ada	Hooker	8/27/2003	14	A+	63.6	166
299	female	Natalie	Tretiakova	7/2/2013	4	O+	14.5	110
300	male	Gaspar	Masson	6/23/2011	6	A+	16.3	116
301	male	Jayden	Holt	2/6/2004	13	B+	69.1	164
302	male	Armen	Muravyov	8/11/2012	5	A+	17.4	109
303	female	Blanca	Bowman	2/2/2017	0	O-	5	52
304	female	Stella	Kotova	8/8/2000	17	O+	53.8	161
305	female	Amber	Monty	8/5/2015	2	B+	10	84
306	male	Arseny	Bodrov	8/7/2009	8	O+	22.2	118
307	female	Enid	Lee	4/4/2013	4	O-	19.4	107
308	male	Ted	Brooks	9/27/2004	13	B+	57.5	160
309	male	Harrison	Gardner	4/24/2013	4	O+	21	105
310	female	Samira	Sidorova	5/16/2006	11	A+	32.5	144
311	male	Otis	Griffiths	5/5/2002	15	B+	72.7	174
312	female	Morgan	Hardy	6/12/2000	17	O+	79.8	160
313	female	Molly	Shaw	6/19/2000	17	O+	46.3	164
314	female	Falerina	Demers	11/20/2002	15	A+	41.5	150
315	male	Kieran	Hughes	11/4/2008	9	A+	26.3	127
316	female	Regina	Alexandrova	12/26/2000	17	O+	52.3	152
317	female	Ruby	Fisher	8/11/2006	11	O+	30.2	135
318	female	Tilly	Lagacé	7/8/2002	15	B+	62	166
319	male	Hleb	Izmaylov	6/23/2009	8	B+	28.6	130
320	male	Steven	Mahood	12/21/2016	1	A+	8.8	71
321	male	Avenall	Desruisseaux	1/10/2015	3	O+	12.9	102
322	male	Alva	Morano	11/4/2017	0	A+	3	47
323	male	Pedro	Goodman	7/10/2004	13	B+	62.1	147
324	male	Joe	Jones	3/27/2000	17	O-	75.5	163
325	female	Yaroslav	Yashina	2/18/2015	2	AB+	15.9	87
326	male	Ismail	Denisov	7/8/2017	0	AB+	4.3	47
327	female	Marguerite	Turgeon	11/7/2017	0	O-	2.5	47
328	male	Luke	Horton	7/18/2006	11	B+	36.2	137
329	female	Mei	Carrell	7/4/2008	9	AB+	23.4	123
330	male	Oscar	Burrows	6/19/2012	5	O+	19.5	115
331	male	Beltane	Rochon	1/30/2009	8	O+	30.9	126
332	female	Julia	Bechtol	7/3/2001	16	B+	53.8	153
333	male	Dexter	Poirier	2/20/2007	10	A+	49.5	148
334	female	Mia	McLean	8/7/2002	15	O+	74.8	169
335	male	David	Knight	1/11/2008	10	B-	46.7	151
336	female	Lillie	Stephens	1/14/2007	11	A+	48.6	153
337	female	Kate	Todd	11/9/2004	13	B+	51.6	151
338	female	Madeleine	Dodd	9/30/2005	12	A+	50.6	156
339	female	Stella	Ibragimova	5/18/2009	8	O-	22.8	135
340	female	Eugene	Kazantseva	10/6/2011	6	AB+	20.9	124
341	male	Xenophon	Bodrov	6/30/2011	6	A+	27.6	116
342	female	Eulalie	Brunault	8/2/2004	13	O+	47.8	153
343	male	Porphyry	Kozlov	11/29/2009	8	O+	31.5	134
344	female	Eloise	Dale	10/24/2016	1	O+	10.9	73
345	male	Willie	Dayton	3/23/2000	17	B+	87.8	187
346	male	Rhys	Jennings	4/29/2009	8	AB+	20.7	126
347	male	James	Locklear	2/5/2010	7	A+	25.1	115
348	male	George	Holloway	4/11/2011	6	O-	23	123
349	female	Rosario	Gulley	6/14/2015	2	O-	11.7	80
350	female	Oriel	Paquet	3/22/2017	0	A+	4.6	48
351	male	Bertrand	Thibodeau	8/11/2001	16	B+	67.1	174
352	female	Antonina	Chesnokova	11/22/2002	15	O+	60.3	166
353	male	Edward	McBride	4/19/2014	3	A+	16.7	91
354	male	Xarles	Petrie	9/5/2012	5	O+	24.5	112
355	male	James	O'Donnell	8/19/2008	9	O+	28.2	146
356	female	Claudia	Solomina	1/12/2012	6	A+	17.3	113
357	female	Lola	Rowe	5/18/2002	15	A+	43.3	160
358	male	Leopold	Krylov	5/28/2003	14	B+	64.4	160
359	male	Gaetan	Cousteau	10/23/2000	17	B+	84.6	163
360	male	Robert	Avila	12/16/2015	2	O+	14.4	80
361	male	Willy	Peters	11/29/2000	17	O+	87.6	161
362	male	Philip	Jones	9/26/2005	12	O+	43.3	138
363	male	Platt	Déziel	2/14/2014	3	O+	14.8	94
364	male	Robert	Marshall	11/10/2003	14	B-	63.1	169
365	male	Joseph	Rohde	2/2/2014	3	B+	14.1	98
366	male	Leverett	Royer	3/22/2015	2	A+	15.9	81
367	female	Janis	Altman	11/18/2015	2	O+	12.7	82
368	female	Maya	Rees	12/25/2002	15	A+	63.7	166
369	male	Charlie	Middleton	5/29/2013	4	A+	15.7	106
370	female	Aurore	Benoit	12/25/2011	6	O+	22	118
371	female	Danielle	Mellor	10/27/2007	10	A+	33.2	131
372	male	Victor	Pokrovsky	2/4/2014	3	AB+	14.7	99
373	female	Stéphanie	Chicoine	10/23/2016	1	B+	9.3	72
374	female	Faith	Kudryashova	10/20/2006	11	O-	37.5	137
375	male	Charlie	Alvarez	4/23/2010	7	A-	21.6	124
376	female	Sanda	McNeil	6/19/2011	6	B+	25.2	109
377	male	Nathan	Doherty	3/2/2001	16	O-	88.7	160
378	male	Taras	Yuriev	8/23/2004	13	O+	33.9	156
379	male	Sam	North	8/27/2006	11	AB+	50.6	142
380	male	Tyler	Arias	4/28/2016	1	B+	10.2	77
381	male	Ilya	Alekseeva	3/12/2015	2	B+	13.9	89
382	female	Samantha	Richards	11/23/2008	9	A+	38	126
383	female	Samira	Alexeyeva	12/8/2005	12	AB+	34.7	157
384	male	Noah	Hooper	7/25/2001	16	A+	76	183
385	male	Porter	DeGrasse	8/1/2004	13	B+	70.5	146
386	female	Sophia	Davies	6/4/2001	16	O+	41	161
387	female	Carmen	Regalado	1/7/2008	10	O+	23.9	141
388	male	Jules	Maheu	5/3/2013	4	A+	13.5	100
389	male	Anton	Abramov	2/12/2003	14	B+	46.6	164
390	male	Clayton	Bethune	6/24/2013	4	B+	21.2	98
391	male	Abel	Tanner	4/24/2006	11	A+	40.7	134
392	male	Edward	Barnett	10/29/2015	2	O+	13.8	82
393	female	Belinda	Lopez	10/2/2009	8	B+	30.2	126
394	male	Jamal	Muravyov	2/27/2013	4	A+	20	96
395	male	Luca	Wood	12/17/2004	13	A+	34.1	150
396	female	Isabella	Ilyina	10/27/2012	5	B+	22.5	108
397	male	Hleb	Efremov	3/19/2017	0	A+	4.4	45
398	female	Amelia	Gray	12/3/2016	1	A+	11	77
399	female	Asya	Yefimova	2/6/2015	2	AB+	14.1	86
400	male	Desire	Levasseur	3/31/2013	4	B+	14.4	111
401	male	Normand	Chabot	1/30/2000	17	O+	82.5	188
402	male	Joe	Rivera	9/3/2014	3	AB+	18.9	99
403	female	Blanche	Benoit	12/10/2010	7	AB+	24.7	132
404	male	Oliver	Glover	2/13/2003	14	O-	44.2	156
405	female	Carmina	Thorne	1/2/2007	11	O+	46.5	142
406	female	Alisha	McLean	10/24/2000	17	A+	63.7	152
407	female	Harriet	Noble	11/30/2006	11	B+	43.5	138
408	female	Hedvige	Bélanger	1/15/2006	12	A+	37.6	154
409	female	Euphrosyne	Mishina	4/26/2002	15	A+	67.2	155
410	male	Jay	Heath	12/14/2012	5	B+	16.1	110
411	male	Jérôme	Gaillou	11/20/2015	2	B+	15.7	89
412	male	Bogdan	Yevseyev	4/27/2010	7	O+	32.8	112
413	female	Michèle	Boutot	3/15/2010	7	B+	27.5	125
414	female	Olympics	Blinova	6/23/2002	15	A+	69.6	154
415	male	Fabrice	Chastain	4/9/2005	12	B+	61.3	158
416	male	Rodion	Komarov	2/2/2009	8	AB+	21.5	136
417	female	Tatiana	Fedorova	11/28/2004	13	O+	34.8	168
418	female	Gladys	Day	3/10/2016	1	O+	7.5	78
419	male	Javier	Melanson	8/6/2006	11	O-	44	149
420	male	Charles	Ott	3/24/2007	10	A+	44.3	135
421	female	Gayane	Gerasimova	11/10/2017	0	A+	2.2	45
422	female	Ana	Randolph	7/4/2007	10	O+	50.2	128
423	male	Terence	Zuev	6/10/2006	11	A+	45.4	157
424	female	Lydia	Alexeyeva	7/6/2009	8	O+	31.5	138
425	female	Yseult	de Chateaub	1/26/2004	13	B+	59.2	144
426	male	Sennet	Charette	8/27/2016	1	O+	8	80
427	male	James	Brown	11/8/2001	16	B+	56.7	163
428	female	Mollie	O'Sullivan	2/21/2005	12	B+	64.5	147
429	female	Gloria	Grabill	6/3/2000	17	A+	79.5	151
430	female	Marianne	Fomina	8/8/2004	13	O+	44.5	169
431	male	Pimen	Aksakov	12/11/2012	5	B+	19	100
432	female	Lima	Zubareva	8/23/2014	3	A+	13.1	87
433	male	Nail	Abramoff	9/8/2007	10	B-	26.8	133
434	female	Maddison	Summers	11/9/2017	0	A-	2.5	46
435	female	Niamh	Barnett	9/9/2017	0	AB+	4.3	49
436	female	Faina	Ankudinova	10/13/2006	11	B+	39.2	153
437	female	Evelyn	Tikhonova	6/20/2010	7	A+	22.6	118
438	female	Tina	Money	3/28/2007	10	B+	39.9	132
